"ALT_SITECODE","LATITUDE","LONGITUDE","GPS_ELEV","NodeNb","date2018225","date2018242","date2019221","date2019225","date2019240","date2020222","date2020226","date2020243","date2021223","date2021224","date2021236","mean","max","sdev","ndates"
"Saddle Pt Quad 01",40.0554976768,-105.593512253,3565.484," 01",40.53,33.37,27.21,24.41,34.89,34.6900000000001,30.73,13.89,26.71,28.35,33.31,29.8263636363637,40.53,7.01009453962965,11
"Saddle Pt Quad 02",40.0553968434,-105.592895912,3555.614," 02",40.01,33.61,27.41,25.01,34.55,35.47,31.71,13.89,27.71,27.6300000000001,33.49,30.0445454545455,40.01,6.93497853440998,11
"Saddle Pt Quad 03",40.0553182797,-105.592307529,3547.762," 03",39.33,32.6300000000001,27.77,25.01,35.39,36.5700000000001,31.95,13.77,27.71,28.95,33.51,30.2354545454546,39.33,6.93778114909423,11
"Saddle Pt Quad 04",40.0551863042,-105.591759652,3541.242," 04",39.81,32.01,28.39,23.79,34.03,36.5700000000001,32.23,14.31,26.5700000000001,29.21,33.51,30.0390909090909,39.81,6.90419793248348,11
"Saddle Pt Quad 05",40.0550829683,-105.591201073,3535.568," 05",39.2500000000001,32.1300000000001,27.95,23.45,34.03,35.61,30.93,14.37,27.27,28.47,33.45,29.7190909090909,39.2500000000001,6.71496456363764,11
"Saddle Pt Quad 06",40.0549849357,-105.590704481,3531.087," 06",39.03,32.1300000000001,27.95,23.45,34.03,36.0700000000001,30.45,14.1900000000001,25.73,28.1300000000001,32.6900000000001,29.4409090909091,39.03,6.79672487974238,11
"Saddle Pt Quad 07",40.0548564645,-105.590135758,3528.356," 07",39.0700000000001,33.47,26.2500000000001,23.45,34.73,34.11,30.33,13.77,25.73,28.01,33.15,29.2790909090909,39.0700000000001,6.93149544405167,11
"Saddle Pt Quad 08",40.0547156126,-105.589492387,3528.187," 08",39.87,32.41,27.29,22.51,34.47,35.37,30.23,13.39,25.49,27.6300000000001,33.23,29.2627272727273,39.87,7.22386751111769,11
"Saddle Pt Quad 09",40.0546036046,-105.588994637,3527.382," 09",39.87,31.43,27.15,23.77,33.97,35.37,30.23,13.39,25.49,27.6300000000001,33.35,29.2409090909091,39.87,7.0553603090777,11
"Saddle Pt Quad 10",40.0545162725,-105.588372589,3533.715," 10",39.87,31.43,27.77,23.67,33.43,35.37,28.85,13.49,25.0700000000001,27.47,32.93,29.0318181818182,39.87,6.98561066504828,11
"Saddle Pt Quad 10A",40.0543984643,-105.587802465,3539.433,"10A",39.71,30.97,28.27,23.67,34.45,34.51,29.47,13.01,25.91,28.35,32.93,29.2045454545455,39.71,6.98888884392414,11
"Saddle Pt Quad 11",40.0559395668,-105.59341658,3569.739," 11",39.21,32.0700000000001,27.41,24.31,34.89,34.6900000000001,30.73,13.23,26.5700000000001,28.71,32.01,29.4390909090909,39.21,6.85474646437848,11
"Saddle Pt Quad 12",40.0558010506,-105.592748191,3558.653," 12",39.37,32.43,27.77,25.01,34.55,33.85,32.1900000000001,13.89,26.5700000000001,27.83,33.43,29.7172727272728,39.37,6.71407043589667,11
