species,CLMcwd,CLMprecip,CLMtemp,CLMsummertemp,saddleName
Allium geyeri,488.7,560.1,5,14.5,Allium geyeri
Androsace septentrionalis,315,488.2,1.6,13,Androsace septentrionalis
Antennaria media,197.4,921.8,1.1,10,Antennaria media
Antennaria rosea,331.5,547.2,3.3,13.6,Antennaria rosea
Arenaria fendleri var. fendleri,516.8,518.4,4.7,14.3,Arenaria fendleri var. fendleri
Artemisia pattersonii,201.8,641.4,0.1,9.3,Artemisia pattersonii
Artemisia scopulorum,201.1,648.3,-0.1,9.4,Artemisia scopulorum
Bistorta bistortoides,326.3,943.6,3.1,11.8,Polygonum bistortoides
Bistorta vivipara,82.7,825.2,-1.4,9.9,Polygonum viviparum
Calamagrostis purpurascens,159.4,446.6,-3.4,10.5,Calamagrostis purpurascens
Caltha leptosepala,190.2,1088.1,1.9,10.4,Caltha leptosepala
Campanula rotundifolia,292.4,798.8,5.4,16.3,Campanula rotundifolia
Campanula uniflora,77.9,443.2,-5.9,8,Campanula uniflora
Carex albonigra,144.1,735,-0.8,9.4,Carex albonigra
Carex aquatilis var. stans,33.3,198.4,-13.9,4.7,Carex aquatilis var. stans
Carex capillaris,102.8,552.8,-2.6,11.4,Carex capillaris
Carex capitata,139.6,399.4,-3.9,11.2,Carex capitata
Carex elynoides,236.5,624.6,0.3,9.9,Carex elynoides
Carex haydeniana,227.7,674.5,0.7,10.2,Carex haydeniana
Carex heteroneura var. epapillosa,353.2,574,1.9,11,Carex heteroneura var. epapillosa
Carex lachenalii,45.7,627.7,-3.8,8.4,Carex lachenalii
Carex nigricans,111.4,1215.3,1.4,9.9,Carex nigricans
Carex perglobosa,151.8,712,-1,8.6,Carex perglobosa
Carex phaeocephala,189.5,854.4,0.6,9.9,Carex phaeocephala
Carex pyrenaica,121.8,977.9,0.3,9.6,Carex pyrenaica
Carex rupestris var. drummondiana,160.8,653.5,-1,8.8,Carex rupestris var. drummondiana
Castilleja occidentalis,163.9,693.9,-0.4,9.3,Castilleja occidentalis
Cerastium arvense subsp. strictum,272,703,3.6,13.7,Cerastium arvense subsp. strictum
Chamerion angustifolium subsp. angustifolium,139.7,734.4,0.4,13.1,Chamerion angustifolium subsp. angustifolium
Chionophila jamesii,165.5,691.8,-0.7,8.8,Chionophila jamesii
Deschampsia cespitosa,228.2,968.2,4.1,14.5,Deschampsia cespitosa
Draba aurea,206.9,634.2,0.5,10.9,Draba aurea
Draba breweri var. cana,200.5,645.2,-0.6,9.2,Draba breweri var. cana
Draba streptocarpa,329.9,556.8,1.8,11.3,Draba streptocarpa
Elymus trachycaulus subsp. trachycaulus,430.1,577.2,4.1,14.8,Elymus trachycaulus subsp. trachycaulus
Epilobium anagallidifolium,97.4,1054.5,0.1,9.8,Epilobium anagallidifolium
Erigeron melanocephalus,166.9,697.5,-0.4,9.1,Erigeron melanocephalus
Erigeron pinnatisectus,193.7,646.8,-0.3,9.4,Erigeron pinnatisectus
Erigeron simplex,223.3,623.2,0.2,9.6,Erigeron simplex
Eritrichium nanum,152.2,504.5,-2.6,9.2,Eritrichium nanum
Erysimum capitatum,803.9,659,10.9,19.2,Erysimum capitatum
Festuca brachyphylla,93.2,666.4,-3.3,8.9,Festuca brachyphylla
Gentiana algida,149.7,608.2,-1.3,9,Gentiana algida
Gentianella amarella subsp. acuta,302.3,686.9,2.5,12.8,Gentianella amarella subsp. acuta
Geum rossii var. turbinatum,246.6,632.9,0.6,10.1,Geum rossii var. turbinatum
Helictotrichon mortonianum,201.6,621.4,-0.3,9.4,Helictotrichon mortonianum
Hieracium triste,95.5,1177.4,1,10,Hieracium gracile
Juncus drummondii,133.7,899.4,0.2,9.6,Juncus drummondii
